,Name,Country,Brand,Categories,Tasting Notes,ABV,Food Pairing,Suggested Glassware,Suggested Serving Temperature,Sweet-Dry Scale,Body,Rating,Rate Count,Price,Volume,Description
274,Beringer Main & Vine Merlot,United States,Beringer Vineyards,"Merlot, Red Wine",,13%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,60-65° F,Dry Wine,Medium,5,5,$6.99 ,,"An everyday indulgence. Delicious dark fruit and toasty oak, a succulent Merlot to share with friends or enjoy with dinner (or even dessert)."
275,Beringer Napa Valley Merlot,United States,Beringer Vineyards,"Merlot, Red Wine",,14.30%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,60-65° F,Dry Wine,Medium,5,3,$19.99 ,,This Merlot has a remarkable concentration of fruit with generous notes of black cherry and dark plum throughout. Finely grained tannins and a nice texture give this Merlot a distinct level of complexity while still being very approachable from the start.
276,Beringer Napa Pinot Noir,United States,Beringer Vineyards,"Pinot Noir, Red Wine",,14.30%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,,Light,5,3,$24.60 ,,
277,Beringer Napa Valley Cabernet Sauvignon,United States,Beringer Vineyards,"Cabernet Sauvignon, Red Wine",,14.80%,"Beef, Duck  Game Bird",Bordeaux Glass,60-65° F,Dry Wine,Full,5,3,$54.99 ,,Beringer’s Napa Valley Cabernet Sauvignon is an enticing expression of this varietal and the depth and complexity of flavor it can exhibit when grown in the right place. Select vineyards and blocks from AVAs up and down the valley are used to craft a wine that is the quintessential expression of Napa Valley terroir.
279,Beringer Blanc White Knights Valley,United States,Beringer Vineyards,"White Blend, White Wine",,14.10%,,,,,,5,3,$16.99 ,,
282,Beringer Cabernet Sauvignon Private Reserve,United States,Beringer Vineyards,"Cabernet Sauvignon, Red Wine",,13.80%,"Duck  Game Bird, Beef",Bordeaux Glass,60-65° F,Dry Wine,Full,5,2,$155.09 ,,"""Breathtaking."" ~ James Suckling. This consistently high-scoring Cabernet Sauvignon comes from our reserve vineyards in Napa Valley. Purity of fruit, generous structure. Aged 20 months in 80% new French oak."
283,Beringer Cabernet Sauvignon Napa Valley,United States,Beringer Vineyards,"Cabernet Sauvignon, Red Wine",,15%,"Beef, Duck  Game Bird",Bordeaux Glass,60-65° F,Dry Wine,Full,5,2,$25.95 ,,Beringer’s Napa Valley Cabernet Sauvignon is an enticing expression of this varietal and the depth and complexity of flavor it can exhibit when grown in the right place. Select vineyards and blocks from AVAs up and down the valley are used to craft a wine that is the quintessential expression of Napa Valley terroir.
284,Beringer Luminus Chardonnay,United States,Beringer Vineyards,"Chardonnay, White Wine",,14.30%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,50-55° F,Dry Wine,Full,5,2,$30.99 ,,"Luminus means light, a bright and fresh essence captured in this Oak Knoll Chardonnay. Alive with fresh fruit flavors with a hint of cream and florals followed with a elegant, textural finish."
285,Beringer Napa Valley Chardonnay,United States,Beringer Vineyards,"Chardonnay, White Wine",,14.50%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,50-55° F,Dry Wine,Full,5,2,$18.99 ,,"From some of the best vineyards in Napa Valley, this fresh and rich Chardonnay is perfectly balanced. Bright orchard fruit is layered with creamy complexity."
286,Beringer Founder’s Estates Merlot,United States,Beringer Vineyards,"Merlot, Red Wine",,10%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,60-65° F,Dry Wine,Medium,5,1,$17.99 ,,"Beringer Founders' Estate Merlot was chosen from vineyards in Central California along with select vineyards on the North Coast. The California coast offers vineyards full of grapes that are cooled by maritime influences, while mountain vineyards in the interior produce grapes of great intensity and flavor. The grapes picked reflect the diverse microclimates of each area producing a wonderful depth of flavor, elegance and intensity"
288,Beringer Merlot Bancroft Ranch,United States,Beringer Vineyards,"Merlot, Red Wine",,14.10%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,60-65° F,Dry Wine,Medium,5,1,$79.99 ,,"The 2007 Bancroft Ranch Merlot is a rich garnet color, and brims with flavors of ripe black fruits, brown spices and a hint of orange zest. Its refined tannins and depth of flavor make it one of our most memorable wines from Howell Mountain."
289,Beringer Napa Valley Bancroft Ranch Merlot,United States,Beringer Vineyards,"Merlot, Red Wine",,14.10%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,60-65° F,Dry Wine,Medium,5,1,$82.62 ,,
290,Beringer Founder’s Estate Pinot Noir,United States,Beringer Vineyards,"Pinot Noir, Red Wine",,13.80%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,,Light,5,1,$9.99 ,,Beringer California Pinot Noir has a light cherry hue with genuine aromas of light cherry and raspberry and a gentle hint of spice. On the palate it is steely with uncomplicated tastes of fruity cherries with a rounded out finish.
291,Beringer Quantum Red Blend,United States,Beringer Vineyards,"Red Blend, Red Wine",,14.50%,,,,,,5,1,$49.99 ,,"A succulent and structured red blend, with complex layers of deep dark fruit, leather, and spice. Balanced and silky, to drink now or cellar for up to 15 years."
292,Beringer Main & Vine Red Crush,United States,Beringer Vineyards,"Red Blend, Red Wine",,13%,,,,,,5,1,$6.99 ,,Semi Sweet great summer time wine made mostly with Petite Sirah.
293,Beringer Founders Estate Dark Red Blend,United States,Beringer Vineyards,"Red Blend, Red Wine",,13.50%,,,,,,5,1,$9.99 ,,Raspberry and plum on the nose with hints of that jamminess coming through on the tongue. Subtle oak and soft tannins make this a very drinkable red on its own.
294,Beringer Waymaker Red Wine,United States,Beringer Vineyards,"Red Blend, Red Wine",,14.50%,,,,,,5,1,$19.99 ,,A full-bodied blend of dark-skinned varieties from Paso Robles. Packed with black and blue fruit character with a hint of floral and dusty notes. Juicy and structured with a mouthwatering finish.
296,Beringer Knights Valley Reserve Cabernet Sauvignon,United States,Beringer Vineyards,"Cabernet Sauvignon, Red Wine",,14.90%,"Beef, Duck  Game Bird",Bordeaux Glass,60-65° F,Dry Wine,Full,2.5,2,$53.99 ,,"A complex and layered Cabernet Sauvignon, from prized plots in the Knights Valley growing area. This full-bodied, highly concentrated, intensely flavored wine is packed with dark fruit flavors, savory herbs, and restrained mineral accents"
303,Beringer Vineyards Napa Valley Chardonnay,United States,Beringer Vineyards,"Chardonnay, White Wine",,14.50%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,50-55° F,Dry Wine,Full,5,1,$18.99 ,,"From some of the best vineyards in Napa Valley, this fresh and rich Chardonnay is perfectly balanced. Bright orchard fruit is layered with creamy complexity."
304,Beringer Nightingale Semillon-Sauvignon Blanc,United States,Beringer Vineyards,"White Blend, White Wine",,14.20%,,,,,,5,1,$26.40 ,,"This item is temporarily out of stock.

This very special wine offers golden hue and features aromas of apricot nectar, crème brulee, vanilla and honey. Rich flavors of butterscotch, stone fruit and spice, with just a slight hint of cigar box, coat the mouth and linger for a long, luxurious finish. Whether paired with a cheese or rich dessert, Nightingale is a wonderful way to end a meal."
305,Beringer Founders Estate Pinot Grigio,United States,Beringer Vineyards,"Pinot Grigio, White Wine",,13.90%,"Shellfish, Salads  Greens",Standard White Glass,45-50° F,Dry Wine,Light,5,1,$9.99 ,,"It has bright citrus and green apple aromas with honeydew and apple flavors. The balanced acidity gives it a great refreshing and crisp quality, with just a touch of minerality."
308,Beringer Founder’s Estate Sauvignon Blanc,United States,Beringer Vineyards,"Sauvignon Blanc, White Wine",,13.50%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,45-50° F,Dry Wine,Light,5,1,$9.99 ,,"Our winemakers take great care to maintain this varietal’s bright fruit characteristics. The Beringer Founders’ Estate Sauvignon Blanc has a wonderfully refreshing grapefruit flavor that is enhanced with intense citrus, ripe stone fruit and white fig. The wine finishes with a clean grassy note and crisp acidity making it a perfect match with grilled fish."
309,Francis Coppola Diamond Collection Claret,United States,Francis Ford Coppola,"Bordeaux Blend, Red Wine",,13.50%,,,,,,4.9,69,$17.99 ,,"Since its inception, Claret has been the crown jewel of the Diamond Collection. Crafted as a Bordeaux-style blend, this wine reflects a diversity of vineyards whose soils contribute to the wine's complexity. It is distinguished with gold netting. A tribute to the way Europe's finest wines were once presented. it is memorably lush with a tapestry of smooth tannins and succulent flavors of wild berries, plum and anise."
310,Francis Coppola Diamond Collection Cabernet Sauvignon,United States,Francis Ford Coppola,"Cabernet Sauvignon, Red Wine","Cassis, Berry, Chocolate, Anise",13.50%,"Beef, Lamb",Bordeaux Glass,60-65° F,Dry Wine,Full,5,64,$15.99 ,,"Dramatic style, vibrant packaging and fruit-forward, smooth wines are the signatures of Francis Ford Coppola Diamond Collection. Our Diamond Cabernet Sauvignon is highly concentrated with aromas of blackberries, cherries and spice with flavors of plums, currants, dried herbs and toasted oak."
311,Francis Coppola Diamond Collection Pinot Noir,United States,Francis Ford Coppola,"Pinot Noir, Red Wine","Dark Fruit, Spicy, Toasty, Vanilla",14.10%,"Beef, Chicken",Burgundy  Bourgogne Glass,55-60° F,,Light,5,28,$16.99 ,,"Dramatic style, vibrant packaging and fruit-forward, smooth wines are the signatures of Francis Ford Coppola Diamond Collection. Our Pinot Noir boasts a silky texture and dazzling perfume of crushed raspberries, rose petals and tea leaves followed by luscious flavors of plums, strawberries and spice."
312,Francis Coppola Diamond Collection Merlot,United States,Francis Ford Coppola,"Merlot, Red Wine",,14.10%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,60-65° F,Dry Wine,Medium,5,27,$15.99 ,,"Dramatic style, vibrant packaging and fruit-forward, smooth wines are the signatures of Francis Ford Coppola Diamond Collection. Our Diamond Collection Merlot has fragrant notes of plums, currants, and anise with lively flavors of blueberry pie, cherries and toasted oak."
313,Francis Coppola Diamond Collection Chardonnay,United States,Francis Ford Coppola,"Chardonnay, White Wine","Apple, Guava, Melon",13.50%,"Pork, Fish - Meaty  Oily",Chardonnay Glass,50-55° F,Dry Wine,Full,5,22,$12.99 ,,"Dramatic style, vibrant packaging and fruit-forward, smooth wines are the signatures of Francis Ford Coppola Diamond Collection. Our Diamond Collection Chardonnay has juicy flavors of pears, tropical fruit and citrus, with alluring aromas of spice and toasted oak, and finished with a light creamy texture."
314,Francis Coppola Diamond Collection Oregon Pinot Noir,United States,Francis Ford Coppola,"Pinot Noir, Red Wine",,13.50%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,,Light,4.7,20,$17.99 ,,"A Pinot Noir derived from the cool climates of Oregon, which is an excellent match for this varietal. Aromatic with a satin, supple texture, this flavorful and well-proportioned wine represents a balanced acidity with ripe yet delicate tannins."
315,Francis Coppola Director’s Cut Cabernet Sauvignon,United States,Francis Ford Coppola,"Cabernet Sauvignon, Red Wine",,14.50%,"Beef, Duck  Game Bird",Bordeaux Glass,60-65° F,Dry Wine,Full,5,11,$22.99 ,,"The Cabernet Sauvignon showed a beautiful degree of richness and structure this vintage because of the season's excellent weather. We added small amounts of Merlot, Malbec and Petit Verdot to enrich the complexity of the fruit profile. Full-bodied with sturdy tannins, deep, layered fruit character, and a lushness on the palate, the 2012 Director's Cut Cabernet Sauvignon boasts a melange of red and black berry flavors, cherries, cassis, notes of lavender, and a broad range of spices and toasted oak."
316,Francis Coppola Sofia Mini Blanc de Blancs,United States,Francis Ford Coppola,"American Sparkling Wine, Sparkling Wine","Pear, Melon, Honey, Tart",11.50%,"Shellfish, Fish - White",,,,,4.5,12,$17.99 ,,"Made from a blend of Pinot Blanc, Riesling, and Muscat, Sofia Blanc de Blancs Minis bestow fresh aromatics, elegant flavors, and light effervescence. Perfect for sipping poolside, at celebrations, or under the stars."
317,Francis Coppola Diamond Collection Pinot Grigio,United States,Francis Ford Coppola,"Pinot Grigio, White Wine",,13%,"Shellfish, Salads  Greens",Standard White Glass,45-50° F,Dry Wine,Light,4.5,11,$13.99 ,,"Dramatic style, vibrant packaging and fruit-forward, smooth wines are the signatures of Francis Coppola Diamond Collection. Our Diamond Collection Pinot Grigio offers refreshing flavors of tangerine, peaches and pink grapefruit with notes of juicy pears and a touch of minerals."
318,Francis Coppola Sofia Brut Rose,United States,Francis Ford Coppola,"Sparkling Ros Wine, Sparkling Wine",,12%,,,,,,4.4,9,$17.99 ,,"Styled after the sparkling Rosés in France, our Sofia Brut Rosé flaunts a floral nose highlighted by aromatic notes of tea leaves and flavors of tart red currants, pomegranate, strawberries, peaches, cloves, and spice berries. Graceful and round across the palate, the wine is underscored by a crisp verve that brings the tapestry of flavors to life, then lets them linger on the sparkling finish. Makes a fantastic aperitif and is perfect for sipping poolside."
319,Francis Coppola Diamond Collection Zinfandel,United States,Francis Ford Coppola,"Red Wine, Zinfandel",,13.50%,,Standard Red Glass,60-65° F,,Medium,4.1,6,$13.19 ,,"Dramatic style, vibrant packaging and fruit-forward, smooth wines are the signatures of Francis Ford Coppola Diamond Collection. Our Diamond Zinfandel bestows supple tannins and lush, jammy flavors of berries, cherries and plums along with spicy oak and notes of pepper and anise."
320,Francis Coppola Sofia Rosé,United States,Francis Ford Coppola,"Pink Wine, Ros Wine","Berry, Citrus, Fruity, Crisp",12.80%,"Chicken, Salads  Greens",,,,,5,5,$15.99 ,,"Our Sofia Rosé is a wine of unparalleled beauty. From its shapely, stylized bottle to its delicate fruity essence, this is a wine like no other. When served chilled, its refreshing style makes a delicious partner to light"
321,Francis Coppola Diamond Collection Malbec,United States,Francis Ford Coppola,"Malbec, Red Wine",,14.10%,"Pork, Mushrooms",Standard Red Glass,60-65° F,Dry Wine,Full,5,4,$16.99 ,,"Dramatic style, vibrant packaging and fruit-forward, smooth wines are the signatures of Francis Coppola Diamond Collection. Our Malbec delivers lush, velvety flavors of plums, black cherries and cassis, along with aromatic spice notes and a unique mineral character."
322,Francis Coppola Sofia Blanc de Blancs,United States,Francis Ford Coppola,"American Sparkling Wine, Sparkling Wine","Pear, Melon, Honey, Tart",12%,"Shellfish, Fish - White",,,,,5,4,$16.99 ,,"When his daughter was a little girl, Francis Coppola made her a promise that he would someday make a sparkling wine and name it after her. Today, this Blanc de Blancs is one of our most popular offerings, a favorite for parties and weddings.  Mellow flavors of apples and pears are topped by a hint of citrus and honeysuckle. Elegant in character, this wine is lightly textured and vibrant through the finish."
323,Francis Coppola Diamond Collection Sauvignon Blanc,United States,Francis Ford Coppola,"Sauvignon Blanc, White Wine","Grapefruit, Tropical, Floral, Acidic",13.50%,"Salads  Greens, Cheese - Fresh  Soft",Standard White Glass,45-50° F,Dry Wine,Light,5,2,$13.99 ,,"Dramatic style, vibrant packaging and fruit-forward, smooth wines are the signatures of Francis Coppola Diamond Collection. Our Sauvignon Blanc delivers a beautiful perfume of tangerine, pink grapefruit, and honeysuckle, followed by juicy flavors of tropical fruit, zesty citrus, and a hint of minerals."
324,Francis Coppola Diamond Collection Canned Sauvignon Blanc,United States,Francis Ford Coppola,"Sauvignon Blanc, White Wine",,13%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,45-50° F,Dry Wine,Light,5,2,$19.97 ,,"Take a Diamond Can on your next adventure. Enjoy with backyard BBQs, music festivals, movie marathons or beach days with friends and family. Our Sauvignon Blanc Can delivers a beautiful perfume of tangerine, pink grapefruit, and honeysuckle, followed by juicy flavors of tropical fruit, zesty citrus, and a hint of minerals."
325,Francis Coppola Director’s Cut Zinfandel,United States,Francis Ford Coppola,"Red Wine, Zinfandel",,14.50%,,Standard Red Glass,60-65° F,,Medium,5,1,$22.99 ,,"Made with fruit grown entirely in the Dry Creek Valley appellation, where the combination of climate and location produces excellent Zinfandel fruit with intensely concentrated flavor. Half of the fruit was crushed whole, and the must (seeds and skins) was fermented in open-top fermentors for maximum color extraction and flavor enhancement.    One of the things that make this Zinfandel unique is the liberal amount of Petite Sirah added to the blend to enhance structure and complexity. We used a combination of French and American oak, favoring an American cooper that imparts a nice mocha-espresso nuance that blends well with our wine. The 2012 Director’s Cut Zinfandel delivers ample body and a velvety palate with a bouquet of blackberries, raspberries, clove and pepper followed by succulent flavors of cherries, mixed berries and mocha."
326,Francis Coppola Vendetta,United States,Francis Ford Coppola,"Cabernet Sauvignon, Red Wine",,13.50%,"Beef, Duck  Game Bird",Standard Red Glass,60-65° F,Dry Wine,Full,5,1,$21.99 ,,"Our prize offering, the ultra premium Claret, sports a label that honors the first Cabernet Sauvignon blended in a Bordeaux style by Gustave Niebaum in 1910. Claret is a term originally coined by the British to describe Cabernet-based wines. This Cabernet Sauvignon, Petit Verdot, Malbec and Cabernet Franc blend is alluring and sophisticated; it is memorably lush with a tapestry of smooth tannins and succulent flavors of wild berries, plum and anise. Borrowing tradition of European wineries, we add gold netting to bottle to signify outstanding quality of wine."
327,Francis Coppola Diamond Collection Syrah-Shiraz,United States,Francis Ford Coppola,"Red Wine, Syrah  Shiraz",,13.50%,"Pork, Duck  Game Bird",,,Dry Wine,Full,5,1,$12.99 ,,"Dramatic style, vibrant packaging and fruit-forward, smooth wines are the signatures of Francis Ford Coppola Diamond Collection. Our Diamond Syrah-Shiraz is richly textured and intensely aromatic, with supple tannins and bold flavors of cherries and raspberries interwoven with cloves, pepper and earthiness."
328,Francis Coppola Rosso & Bianco Shiraz,United States,Francis Ford Coppola,"Red Wine, Syrah  Shiraz",,13.70%,"Pork, Duck  Game Bird",,,Dry Wine,Full,5,1,$10.99 ,,
329,Francis Coppola Director’s Cut Merlot,United States,Francis Ford Coppola,"Merlot, Red Wine",,13.50%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,60-65° F,Dry Wine,Medium,5,1,$22.41 ,,"When the Coppola family decided to construct a winery resort in Sonoma County, they felt strongly about giving head winemaker Corey Beck, a Sonoma County native, the opportunity to make wines that reflected his own vision of the quintessential Sonoma wine. Director’s Cut became that endeavor— limited production, appellation-designate wines sourced from Sonoma’s diverse and distinctive microclimates. Named after the version of a film which most reflects the director's vision, the Director's Cut wines represent our winemaker's vision of varietal wines, which express true appellation character.  In addition, every bottle of Director's Cut pays homage to the history of filmmaking with its wraparound label designed after a Zoetrope strip, one of the earliest moving picture devices. Each Director’s Cut label is a replica of a strip from Francis’s personal Zoetrope collection."
331,Francis Coppola Directors Pinot Noir,United States,Francis Ford Coppola,"Pinot Noir, Red Wine",,13%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,Dry Wine,Light,5,1,$18.99 ,,"Our 2012 Director's Pinot Noir reflects the beauty of the vintage with an alluring fragrance of raspberries, cherries, and rose petals. Silky upon entry, the wine broadens on the palate, growing richer and more flavorful with sweet juicy flavors of strawberries, cherries, and cloves, as well as notes of tea leaves and candied orange peel. Toasted oak rounds out the spice character and helps sustain its elegant structure."
332,Francis Coppola Director’s Cut Pinot Noir,United States,Francis Ford Coppola,"Pinot Noir, Red Wine",,13.90%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,,Light,5,1,$23.99 ,,An abundantly flavorful Pinot displaying vibrant tones of red cherry and pomegranate.
334,Coppola Pinot Noir,United States,Francis Ford Coppola,"Pinot Noir, Red Wine",,13.20%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,Dry Wine,Light,5,1,$18.98 ,,"A fruit-forward, lushly-textured Pinot Noir expressive of sunny days and cool Pacific nights. Grapes are harvested in early morning, crushed immediately and cold soaked for 48 hours, intensifying the color."
338,Francis Coppola Eleanor Red Wine,United States,Francis Ford Coppola,"Red Blend, Red Wine",,14.50%,,,,,,5,1,$69.99 ,,
339,Coppola Cabernet Sauvignon,United States,Francis Ford Coppola,"Cabernet Sauvignon, Red Wine",,13.50%,"Beef, Duck  Game Bird",Bordeaux Glass,60-65° F,Dry Wine,Full,5,1,$20.50 ,,"Refined and elegant, our Cabernet displays characteristics of ripe, dark fruit, cocoa and toasted oak and boasts a long, nuanced finish."
341,Francis Coppola Director’s Chardonnay,United States,Francis Ford Coppola,"Chardonnay, White Wine",,13.50%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,50-55° F,Dry Wine,Full,5,1,$18.44 ,,"2012 was an excellent vintage across California because of steady, mild temperatures that persisted throughout summer. The fortuitous weather conditions helped our Chardonnay develop very pronounced aromatics. The perfect balance of sweet, luscious fruit and crisp natural acidity make this a standout wine."
342,Francis Coppola Diamond Collection Pavilion Chardonnay,United States,Francis Ford Coppola,"Chardonnay, White Wine",,14%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,50-55° F,Dry Wine,Full,5,1,$15.99 ,,"Pavilion Chardonnay offers up a complex profile featuring succulent tropical fruit flavors from the finest sun ripened fruit of Santa Barbara County coupled with a hint of cool minerality and citrus out of Sonoma County. Barrel fermentation in French Oak gives our Pavilion a smooth, vanilla finish, making it the perfect accompaniment to most every occasion."
343,Francis Coppola Diamond Collection Canned Chardonnay,United States,Francis Ford Coppola,"Chardonnay, White Wine",,13.50%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,50-55° F,Dry Wine,Full,5,1,$19.19 ,,"Take a Diamond Can on your next adventure. Enjoy with backyard BBQs, music festivals, movie marathons or beach days with friends and family. Our Diamond Collection Chardonnay Can has juicy flavors of pears, tropical fruit and citrus, with alluring aromas of spice and toasted oak, and finished with a light creamy texture."
344,Apocalypse Now Cabernet Sauvignon,United States,Francis Ford Coppola,"Cabernet Sauvignon, Red Wine",,14.80%,"Beef, Duck  Game Bird",Bordeaux Glass,60-65° F,Dry Wine,Full,5,1,$21.49 ,,"87% Cabernet Sauvignon, 9% Merlot, 4% Petit Verdot

An opulent, structured Alexander Valley Cabernet with flavors of crushed cherries, berries, and cocoa. 

In filmmaking, final cut privilege is reserved for the director to determine the final version of the film released to the public. In honor of the 40th anniversary and its final cut release, we present Apocalypse Now Final Cut, a wine with a striking bouquet containing aromas of raspberry jam, baked blueberries, violets, and smoky spice notes of clove, tobacco, and forest floor. An opulent, full-bodied palate presents juicy flavors of crushed cherries, berries, and cocoa. With the long, decadent finish you’ll find touches of caramel and toasted wood. Excellent structure and tannins make this wine capable of aging for several more years.

The 2017 growing season began with a good deal of precipitation, but aft­er a mild spring, temperatures increased and remained quite warm throughout summer and fall. The vintage delivered smaller than average clusters, leading to excellent concentration and fruit quality."
346,Francis Coppola Director’s Cut Chardonnay,United States,Francis Ford Coppola,"Chardonnay, White Wine",,13.50%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,50-55° F,Dry Wine,Full,5,1,$19.99 ,,"A full-bodied Chardonnay bursting with ripe fruit flavor and prominent oak and spice.  Sourced from Russian River Valley, one of California's premier Chardonnay-growing regions.    Using only Russian River Valley fruit, we crush the grapes whole-cluster and ferment entirely in French oak barrels to produce a wine with a seductive, round texture and notes of sweet vanilla. This technique also serves to highlight the green apple, honeysuckle and citrus flavors, which are the hallmark of Russian River vineyards.    Our 2012 Director’s Cut Chardonnay boasts a dazzling fragrance of tropical fruits, peaches and allspice followed by opulent flavors of spiced pears, juicy  pineapple, and tangerine. Full-bodied and impeccably balanced, the fruit infused crème brulee finish makes  for a dramatic finale."
347,Francis Coppola Sofia Chardonnay,United States,Francis Ford Coppola,"Chardonnay, White Wine",,12.50%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,50-55° F,Dry Wine,Full,5,1,$15.99 ,,"Our debut release of Sofia Chardonnay enjoys excellent balance, a supple texture, and bright flavors of crisp green apple, white peaches, juicy pears, spices and a hint of citrus. Monterey County’s signature mineral notes peak through on the finish, making our Chardonnay as graceful as it is unique."
348,Francis Coppola Sofia Riesling,United States,Francis Ford Coppola,"Riesling, White Wine",,13.25%,"Duck  Game Bird, Cheese - Fresh  Soft",Standard White Glass,45-50° F,Semi-Sweet  Off-Dry,Light,5,1,$16.49 ,,
349,Francis Coppola Presents Rosso & Bianco Pinot Grigio,United States,Francis Ford Coppola,"Pinot Grigio, White Wine",,13%,"Shellfish, Salads  Greens",Standard White Glass,45-50° F,Dry Wine,Light,5,1,$9.99 ,,
350,Francis Coppola Diamond Collection Canned Pinot Grigio,United States,Francis Ford Coppola,"Pinot Grigio, White Wine",,13%,"Shellfish, Salads  Greens",Standard White Glass,45-50° F,Dry Wine,Light,5,1,$19.19 ,,"Take a Diamond Can on your next adventure. Enjoy with backyard BBQs, music festivals, movie marathons or beach days with friends and family. Our Diamond Collection Pinot Grigio Can offers refreshing flavors of tangerine, peaches and pink grapefruit with notes of juicy pears and a touch of minerals."
351,Francis Coppola Directors Cut Sauvignon Blanc,United States,Francis Ford Coppola,"Sauvignon Blanc, White Wine",,13.50%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,45-50° F,Dry Wine,Light,5,1,$18.49 ,,"Our 2012 Director’s Cut Sauvignon Blanc from Sonoma Valley is treated with minimal skin contact and fermented in tank. The lees are stirred during fermentation in order to give the wine a silkier texture. This wine does not undergo malolactic fermentation—it's all about the fruit and floral notes, particularly the tropical fruits and white flower scent."
354,Francis Coppola Diamond Collection Rosé of Pinot Noir,United States,Francis Ford Coppola,"Pink Wine, Ros Wine",,12.50%,,,,,,5,1,$14.29 ,,"Dramatic style, vibrant packaging and fruit-forward, smooth wines are the signatures of Francis Coppola Diamond Collection. Our Diamond Collection Rose of Pinot Noir captures elegant rose petals, strawberries and earthy minerality of Italian blood oranges on the nose. Juicy flavors of red berries and a hint of dried flowers fill that palate. The vibrant natural acidity elevates the aromatics, creating a bright, refreshing wine that is very versatile with food as well."
355,Barefoot Pinot Grigio,United States,Barefoot,"Pinot Grigio, White Wine","Green Apple, Peach, Citrus",12.40%,"Chicken, Pasta",Standard White Glass,45-50° F,Dry Wine,Light,4.8,513,$7.35 ,,Tart green apple flavors get down with a white peach undertone. Floral blossoms and citrus aromas do the tango. Barefoot’s Pinot Grigio is light-bodied with a bright finish.
356,Barefoot Moscato,United States,Barefoot,"Moscato, White Wine","Citrus, Peach, Stone Fruit",8.50%,"Fruit - Sweet, Cheese - Fresh  Soft",,,Semi-Sweet  Off-Dry,Light,4.9,354,$7.29 ,,"Delightfully sweet with lush fruity aromas. Hints of citrus skip across flavors of juicy peach, tangerine, and ripe apricots. A bright, crisp finish dances in at the end."
358,Barefoot Chardonnay,United States,Barefoot,"Chardonnay, White Wine","Peach, Apple, Honey",13.40%,"Fish - White, Fruit - Sweet",Chardonnay Glass,50-55° F,Dry Wine,Full,4.8,138,$7.29 ,,Barefoot Chardonnay is dripping with honeyed peach and Fuji apple flavors. It’s as smooth and golden as… gold. Medium-weight with a sweet vanilla aroma. Yum!
359,Barefoot Rosé,United States,Barefoot,"Pink Wine, Ros Wine",,10.50%,,,,,,4.8,131,$7.34 ,,Crush on blush! Rosé is Barefoot's love letter to the pink-tinged classic. Juicy cherries mingle with cool watermelon in this sweet Rosé wine . Sweet lime and a hint of fizz join in for pure magic under sunny skies or starry nights.
360,Barefoot Merlot,United States,Barefoot,"Merlot, Red Wine","Cherry, Berry, Dark Fruit, Chocolate",13.40%,"Tomatoes, Dessert - Chocolate  Coffee",Bordeaux Glass,60-65° F,Dry Wine,Medium,5,93,$7.00 ,,"Barefoot Merlot is the perfect combo of flavors  of blueberry jam, currant and plum, with a vanilla oak finish"
361,Barefoot Sweet Red Blend,United States,Barefoot,"Red Blend, Red Wine","Red Fruit, Jammy, Smooth, Sweet",10.50%,"Beef, Cheese - Creamy  Bloomy",,,,,4.9,88,$6.99 ,,"Chill out (no seriously, try this chilled) with ripe, fruity notes of raspberry, pomegranate and cherry in our Barefoot Sweet Red Blend. Our sweet red wine blend is a delicious combination of Zinfandel, Pinot Noir, Barbera, Grenache and Petite Sirah. This wine is ripe and jammy with explosive flavors of raspberry, plum and cherry for a soft and smooth finish."
